query,label,stance_1,stance_2,stance_3,stance_4,stance_5,h_index1_mean,current_score1_mean,recent_weighted_h_index1_mean,recent_weighted_citation_count1_mean,citation_count1_mean,citations_hindex_wavg1_mean,h_index2_mean,current_score2_mean,recent_weighted_h_index2_mean,recent_weighted_citation_count2_mean,citation_count2_mean,citations_hindex_wavg2_mean,h_index3_mean,current_score3_mean,recent_weighted_h_index3_mean,recent_weighted_citation_count3_mean,citation_count3_mean,citations_hindex_wavg3_mean,h_index4_mean,current_score4_mean,recent_weighted_h_index4_mean,recent_weighted_citation_count4_mean,citation_count4_mean,citations_hindex_wavg4_mean,h_index5_mean,current_score5_mean,recent_weighted_h_index5_mean,recent_weighted_citation_count5_mean,citation_count5_mean,citations_hindex_wavg5_mean,rel
Acupuncture and acupressure for premenstrual syndrome,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.018248175182482,15.0,75.27372262773723,30.0,2.0,61.0,1
Acupuncture for uterine fibroids,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94890510948905,15.0,164.23357664233575,15.0,1.0,11.0,1
Antioxidant supplements for liver diseases,3,1,2,3,4,5,0,0,0,0,0,0,8.941605839416058,16.0,143.06569343065692,0.0,0.0,0.0,0,0,0,0,0,0,11.587591240875915,13.0,166.97080291970804,25.333333333333332,2.0,56.979166666666664,34.3978102189781,10.666666666666666,488.6861313868614,520.0,39.0,2155.2395833333335,7
Antioxidants for female subfertility,2,1,2,3,4,5,4.744525547445256,7.5,25.501824817518248,10.0,3.5,77.71334838867188,22.26277372262774,12.0,267.15328467153284,252.0,21.0,315.25,0,0,0,0,0,0,6.021897810218978,12.0,72.26277372262774,36.0,3.0,46.4375,9.032846715328468,14.0,122.26277372262773,104.66666666666667,7.333333333333333,283.9791666666667,7
Auricular acupuncture for cocaine dependence,1,1,2,3,4,5,23.357664233576642,11.0,271.8065693430657,30.0,2.6666666666666665,67.08333333333333,6.113138686131387,8.0,48.90510948905109,16.0,2.0,5.25,7.299270072992701,14.0,102.18978102189782,28.0,2.0,130.0,4.242700729927007,7.5,21.213503649635037,30.0,3.5,12.09375,8.485401459854014,4.0,33.941605839416056,12.0,3.0,15.25,8
Cannabinoids for epilepsy,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,23.03832116788321,16.0,368.6131386861314,360.0,22.5,883.0,7.116788321167883,16.5,116.83394160583941,25.0,1.5,28.0,0,0,0,0,0,0,4
Cannabis for the treatment of ulcerative colitis,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.744525547445256,14.0,65.41970802919708,202.0,15.0,338.734375,0,0,0,0,0,0,2
Dietary flavonoid for preventing colorectal neoplasms,3,1,2,3,4,5,22.331204379562045,9.5,228.53558394160586,77.5,9.5,327.8515625,0,0,0,0,0,0,0,0,0,0,0,0,7.869525547445256,13.5,100.82116788321167,213.5,18.25,404.177734375,0,0,0,0,0,0,8
Electrical stimulation for the treatment of rheumatoid arthritis,4,1,2,3,4,5,0,0,0,0,0,0,2.9197080291970803,14.0,40.87591240875912,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0565693430656937,6.0,28.604014598540147,0.0,0.0,0.0,3
Electromagnetic therapy for treating pressure ulcers,2,1,2,3,4,5,13.093065693430658,6.0,41.87956204379562,16.0,2.0,24.875,19.17883211678832,9.8,168.83211678832117,13.6,1.4,33.3046875,8.43978102189781,7.5,54.51642335766424,26.0,13.0,50.904541015625,4.105839416058394,12.0,49.27007299270073,0.0,0.0,0.0,0.0,15.0,0.0,15.0,1.0,5.75,11
Guided imagery for treating hypertension in pregnancy,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,6.934306569343065,7.0,48.54014598540146,14.0,2.0,122.4296875,0,0,0,0,0,0,0,0,0,0,0,0,1
Homeopathy for chronic asthma,3,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,22.26277372262774,12.0,267.15328467153284,12.0,1.0,29.25,0,0,0,0,0,0,0,0,0,0,0,0,1
Music therapy for depression,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.914233576642337,15.166666666666666,216.21046228710463,170.16666666666666,11.333333333333334,377.1041666666667,5.234945255474452,13.875,71.53284671532846,85.5,7.5,195.634765625,14
Nutritional support for liver disease,1,1,2,3,4,5,14.507299270072993,16.0,232.1167883211679,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10.249391727493917,10.0,98.661800486618,35.333333333333336,4.333333333333333,58.940104166666664,7.372262773722627,12.0,81.98905109489051,49.0,4.4,94.046875,9
Oral zinc for the prevention of hyperbilirubinaemia in neonates,1,1,2,3,4,5,4.06021897810219,13.5,55.01824817518248,21.0,1.5,10.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Probiotics for preventing gestational diabetes,3,1,2,3,4,5,28.01094890510949,16.0,448.17518248175185,32.0,2.0,159.0,0,0,0,0,0,0,0,0,0,0,0,0,6.204379562043795,15.0,93.76520681265207,39.333333333333336,2.6666666666666665,91.0,15.145985401459853,12.0,181.75182481751824,264.0,22.0,294.5625,5
Selenium supplementation for asthma,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,9.854014598540147,12.0,118.24817518248176,12.0,1.0,50.0,0.0,12.0,0.0,0.0,0.0,0.0,6.605839416058394,12.0,64.63503649635037,15.2,1.4,42.8875,7
Vitamin B6 for cognition,2,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,14.507299270072993,14.0,195.34671532846716,7.5,0.5,15.625,10.880474452554745,12.25,124.11040145985402,1.25,0.25,4.9375,16.514598540145986,5.0,82.57299270072993,0.0,0.0,0.0,7
Vitamin E for intermittent claudication,3,1,2,3,4,5,22.901459854014597,15.0,343.52189781021895,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.562043795620438,7.0,31.934306569343068,3.5,0.5,0.65625,0,0,0,0,0,0,4
Xuebijing for paraquat poisoning,2,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0985401459854014,15.0,31.47810218978102,0.0,0.0,0.0,1
Yoga for stroke rehabilitation,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5.109489051094891,14.0,71.53284671532847,42.0,3.0,160.625,8.416970802919709,12.75,104.53923357664235,52.25,4.875,118.40625,14.68978102189781,14.0,205.65693430656933,154.0,11.0,198.0,10
Acupuncture for the prevention of episodic migraine,4,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.420620437956204,11.75,91.97080291970804,152.5,16.5,171.26220703125,4
Cinnamon for diabetes mellitus,3,1,2,3,4,5,30.01824817518248,11.0,330.2007299270073,88.0,8.0,132.875,21.98905109489051,10.0,219.8905109489051,100.0,10.0,177.8984375,5.687347931873479,14.666666666666666,83.81995133819952,86.33333333333333,6.333333333333333,123.3125,10.469890510948904,13.0,137.78512773722628,107.125,8.75,178.9794921875,13.75456204379562,13.5,150.91240875912408,126.5,14.75,321.7958984375,17
Cranberries for preventing urinary tract infections,2,1,2,3,4,5,12.195863746958636,13.666666666666666,171.1374695863747,126.0,8.666666666666666,299.0,14.416058394160585,16.0,230.65693430656935,96.0,6.0,231.75,7.664233576642336,7.0,53.64963503649635,21.0,3.0,27.375,5.656934306569343,12.5,50.912408759124084,88.5,7.5,278.8984375,5.41970802919708,13.4,70.21897810218978,70.8,5.6,114.3,12
