metric_name,SVC,majority
reject_acc,5,3
reject_as_support,0,6
reject_as_neutral,10,6
neutral_as_reject,2,3
neutral_acc,34,24
neutral_as_support,0,9
support_as_reject,1,1
support_as_neutral,2,0
support_acc,0,2
actual_rejects,15,15
actual_neutral,36,36
actual_support,3,3
val_false_optimism_mae,1.4545454545454546,1.7575757575757576
val_false_pessimism_mae,1.3125,2.2
class_false_optimism_mae,2.0,2.5714285714285716
class_false_pessimism_mae,2.4,2.5
val_false_optimism_num,11,33
val_false_pessimism_num,16,5
class_false_optimism_num,10,21
class_false_pessimism_num,5,4
val_false_optimism_rate,0.2037037037037037,0.6111111111111112
val_false_pessimism_rate,0.2962962962962963,0.09259259259259259
class_false_optimism_rate,0.18518518518518517,0.3888888888888889
class_false_pessimism_rate,0.09259259259259259,0.07407407407407407
