metric_name,SVC,majority
reject_acc,6,2
reject_as_support,0,5
reject_as_neutral,7,6
neutral_as_reject,1,3
neutral_acc,30,22
neutral_as_support,0,6
support_as_reject,0,0
support_as_neutral,2,0
support_acc,0,2
actual_rejects,13,13
actual_neutral,31,31
actual_support,2,2
val_false_optimism_mae,1.4,1.75
val_false_pessimism_mae,1.0,2.0
class_false_optimism_mae,2.0,2.588235294117647
class_false_pessimism_mae,2.0,2.0
val_false_optimism_num,10,28
val_false_pessimism_num,11,4
class_false_optimism_num,7,17
class_false_pessimism_num,3,3
val_false_optimism_rate,0.21739130434782608,0.6086956521739131
val_false_pessimism_rate,0.2391304347826087,0.08695652173913043
class_false_optimism_rate,0.15217391304347827,0.3695652173913043
class_false_pessimism_rate,0.06521739130434782,0.06521739130434782
